"subject"	"activity"	"MeanSamples"
"43"	8	"LAYING"	-0.722406520353446
"44"	8	"SITTING"	-0.72745694109493
"45"	8	"STANDING"	-0.735324128855415
"46"	8	"WALKING"	-0.16056841343373
"47"	8	"WALKINGDOWNSTAIRS"	-0.00103612319688198
"48"	8	"WALKINGUPSTAIRS"	-0.146879782054871
"49"	9	"LAYING"	-0.726146510489097
"50"	9	"SITTING"	-0.704523755500333
"51"	9	"STANDING"	-0.719415113824515
"52"	9	"WALKING"	-0.286806225658878
"53"	9	"WALKINGDOWNSTAIRS"	-0.162548480947928
"54"	9	"WALKINGUPSTAIRS"	-0.352322249173958
"55"	10	"LAYING"	-0.751454042087244
"56"	10	"SITTING"	-0.73712845579557
"57"	10	"STANDING"	-0.721542732014904
"58"	10	"WALKING"	-0.207316119201447
"59"	10	"WALKINGDOWNSTAIRS"	-0.108732322835411
"60"	10	"WALKINGUPSTAIRS"	-0.214657479004489
"61"	11	"LAYING"	-0.739250481303299
"62"	11	"SITTING"	-0.730213416461106
"63"	11	"STANDING"	-0.747503181881309
"64"	11	"WALKING"	-0.379016958409591
"65"	11	"WALKINGDOWNSTAIRS"	-0.220718087092131
"66"	11	"WALKINGUPSTAIRS"	-0.370962843516591
"67"	12	"LAYING"	-0.72760644728624
"68"	12	"SITTING"	-0.727919507003818
"69"	12	"STANDING"	-0.719351505561252
"70"	12	"WALKING"	-0.256034499452433
"71"	12	"WALKINGDOWNSTAIRS"	-0.179277771565335
"72"	12	"WALKINGUPSTAIRS"	-0.354006222470134
"73"	13	"LAYING"	-0.731168410513377
"74"	13	"SITTING"	-0.735239423441511
"75"	13	"STANDING"	-0.742391626905495
"76"	13	"WALKING"	-0.210988794167055
"77"	13	"WALKINGDOWNSTAIRS"	-0.170802030677804
"78"	13	"WALKINGUPSTAIRS"	-0.330641118753785
"79"	14	"LAYING"	-0.706780359580511
"80"	14	"SITTING"	-0.730278809106672
"81"	14	"STANDING"	-0.733750919831609
"82"	14	"WALKING"	-0.288349500486322
"83"	14	"WALKINGDOWNSTAIRS"	0.00341910027488552
"84"	14	"WALKINGUPSTAIRS"	-0.111119139268373
"85"	15	"LAYING"	-0.732694054370465
"86"	15	"SITTING"	-0.733838697315558
"87"	15	"STANDING"	-0.733951795404
"88"	15	"WALKING"	-0.306114313281622
"89"	15	"WALKINGDOWNSTAIRS"	-0.114055542511411
"90"	15	"WALKINGUPSTAIRS"	-0.294341669544798
"91"	16	"LAYING"	-0.743287358888657
"92"	16	"SITTING"	-0.734763414612203
"93"	16	"STANDING"	-0.744597444550344
"94"	16	"WALKING"	-0.383138718688577
"95"	16	"WALKINGDOWNSTAIRS"	-0.21577265313244
"96"	16	"WALKINGUPSTAIRS"	-0.382992324573922
"97"	17	"LAYING"	-0.731324690617382
"98"	17	"SITTING"	-0.747004627057666
"99"	17	"STANDING"	-0.753476669240357
"100"	17	"WALKING"	-0.309280113929322
"101"	17	"WALKINGDOWNSTAIRS"	-0.233445826587078
"102"	17	"WALKINGUPSTAIRS"	-0.302507349895375
"103"	18	"LAYING"	-0.746133039821382
"104"	18	"SITTING"	-0.743850843467203
"105"	18	"STANDING"	-0.744424330919073
"106"	18	"WALKING"	-0.394478845416299
"107"	18	"WALKINGDOWNSTAIRS"	-0.377526737575512
"108"	18	"WALKINGUPSTAIRS"	-0.42646923228292
"109"	19	"LAYING"	-0.742143249540819
"110"	19	"SITTING"	-0.728175891288928
"111"	19	"STANDING"	-0.73554803643265
"112"	19	"WALKING"	-0.0739875703910806
"113"	19	"WALKINGDOWNSTAIRS"	0.154941520892261
"114"	19	"WALKINGUPSTAIRS"	-0.196891295749223
"115"	20	"LAYING"	-0.737847526254904
"116"	20	"SITTING"	-0.726102407642704
"117"	20	"STANDING"	-0.703585407231564
"118"	20	"WALKING"	-0.0954032717082775
"119"	20	"WALKINGDOWNSTAIRS"	-0.0458055951405788
"120"	20	"WALKINGUPSTAIRS"	-0.205762872215166
"121"	21	"LAYING"	-0.729316795500066
"122"	21	"SITTING"	-0.743125990670937
"123"	21	"STANDING"	-0.740332493442983
"124"	21	"WALKING"	-0.239612750488894
"125"	21	"WALKINGDOWNSTAIRS"	-0.139645365609202
"126"	21	"WALKINGUPSTAIRS"	-0.298692900152311
"127"	22	"LAYING"	-0.718920180798411
"128"	22	"SITTING"	-0.720164924412542
"129"	22	"STANDING"	-0.726785296080127
"130"	22	"WALKING"	-0.161843378710114
"131"	22	"WALKINGDOWNSTAIRS"	-0.147381918801591
"132"	22	"WALKINGUPSTAIRS"	-0.191712185339628
"133"	23	"LAYING"	-0.738453366680006
"134"	23	"SITTING"	-0.726113491116866
"135"	23	"STANDING"	-0.735074230891955
"136"	23	"WALKING"	-0.0969339947223061
"137"	23	"WALKINGDOWNSTAIRS"	-0.00547247287462682
"138"	23	"WALKINGUPSTAIRS"	-0.25943590535943
"139"	24	"LAYING"	-0.738162801094621
"140"	24	"SITTING"	-0.737144249115584
"141"	24	"STANDING"	-0.734420049761198
"142"	24	"WALKING"	-0.356957437224817
"143"	24	"WALKINGDOWNSTAIRS"	-0.241425533951455
"144"	24	"WALKINGUPSTAIRS"	-0.362618588027219
"145"	25	"LAYING"	-0.6550466559966
"146"	25	"SITTING"	-0.737614646951336
"147"	25	"STANDING"	-0.739256665905592
"148"	25	"WALKING"	-0.42015627084922
"149"	25	"WALKINGDOWNSTAIRS"	-0.345951992614543
"150"	25	"WALKINGUPSTAIRS"	-0.435418743421543
"151"	26	"LAYING"	-0.744683873718817
"152"	26	"SITTING"	-0.732209186814351
"153"	26	"STANDING"	-0.740410224586124
"154"	26	"WALKING"	-0.318740418835688
"155"	26	"WALKINGDOWNSTAIRS"	-0.175493103647397
"156"	26	"WALKINGUPSTAIRS"	-0.330337988544182
"157"	27	"LAYING"	-0.747039773104429
"158"	27	"SITTING"	-0.738607565821911
"159"	27	"STANDING"	-0.743828559458429
"160"	27	"WALKING"	-0.315300610673124
"161"	27	"WALKINGDOWNSTAIRS"	-0.180615867943192
"162"	27	"WALKINGUPSTAIRS"	-0.368009684288904
"163"	28	"LAYING"	-0.749711337306598
"164"	28	"SITTING"	-0.731041115599865
"165"	28	"STANDING"	-0.712417065277087
"166"	28	"WALKING"	-0.313871992811888
"167"	28	"WALKINGDOWNSTAIRS"	-0.139396563077246
"168"	28	"WALKINGUPSTAIRS"	-0.323401541369843
"169"	29	"LAYING"	-0.747047283845479
"170"	29	"SITTING"	-0.739022156685121
"171"	29	"STANDING"	-0.746979641390065
"172"	29	"WALKING"	-0.256846692509308
"173"	29	"WALKINGDOWNSTAIRS"	-0.178812689061223
"174"	29	"WALKINGUPSTAIRS"	-0.231956730511577
"175"	30	"LAYING"	-0.73371945664569
"176"	30	"SITTING"	-0.732058477455571
"177"	30	"STANDING"	-0.714291901922109
"178"	30	"WALKING"	-0.267020565167016
"179"	30	"WALKINGDOWNSTAIRS"	-0.217523391374438
"180"	30	"WALKINGUPSTAIRS"	-0.33891298828135
